xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
1.459500915200000248e+00	5.999818131025505718e+05	4.500051471176408135e+00	1.396063606080822979e+02	2.402359046887697913e-01	4.026477277430697575e-06	1.432073092008844695e+00	2.846053888938320597e+03	3.614805491480214187e+03	2.330220278422465981e+03	2.460557644002267921e+02	2.208947615761218397e-02	2.425156520990180525e+03	6.589079826938792905e-01	2.179999922164303533e-05
1.463084096000000223e+00	5.999817683551566442e+05	4.500051603561076696e+00	1.396063578624763863e+02	2.402359231692677566e-01	4.026477204045527395e-06	1.432073082873154046e+00	2.846053696253683938e+03	3.614805571851476998e+03	2.330220288292589885e+03	2.460557594578734211e+02	2.208947593343379631e-02	2.425156565190237416e+03	6.589079920219805819e-01	2.180000046990426482e-05
1.466070080000000164e+00	5.999817312414987246e+05	4.500051714168612271e+00	1.396063555755714560e+02	2.402359140711472218e-01	4.026477142891219899e-06	1.432073075260078321e+00	2.846053535683153768e+03	3.614805638827529492e+03	2.330220296517692987e+03	2.460557553392456498e+02	2.208947574661847615e-02	2.425156602023619598e+03	6.589079997953982692e-01	2.179999928719535558e-05
1.468558400000000264e+00	5.999817001392568927e+05	4.500051806325259030e+00	1.396063536655103121e+02	2.402359309842085067e-01	4.026477091929296281e-06	1.432073068915848735e+00	2.846053401874378324e+03	3.614805694640906495e+03	2.330220303371945192e+03	2.460557519070557930e+02	2.208947559093904153e-02	2.425156632718106266e+03	6.589080062732460830e-01	2.180000052369395033e-05
1.470632000000000161e+00	5.999816743932706304e+05	4.500051883339798664e+00	1.396063520756437697e+02	2.402359205982816381e-01	4.026477049461027728e-06	1.432073063628990894e+00	2.846053290367065983e+03	3.614805741152053997e+03	2.330220309083822940e+03	2.460557490468976027e+02	2.208947546120618166e-02	2.425156658296843943e+03	6.589080116714525204e-01	2.179999933296907026e-05
1.472360000000000113e+00	5.999816527673775563e+05	4.500051947452098133e+00	1.396063507471354228e+02	2.402359364172037548e-01	4.026477014070802804e-06	1.432073059223275324e+00	2.846053197444304715e+03	3.614805779911343507e+03	2.330220313843720305e+03	2.460557466634324442e+02	2.208947535309545990e-02	2.425156679612460721e+03	6.589080161699577554e-01	2.180000056099233805e-05
1.473799999999999999e+00	5.999816349150614114e+05	4.500052001054029027e+00	1.396063496423192589e+02	2.402359251381134542e-01	4.026476984578949407e-06	1.432073055551846386e+00	2.846053120008671158e+03	3.614805812210751355e+03	2.330220317810301822e+03	2.460557446772114645e+02	2.208947526300319639e-02	2.425156697375474323e+03	6.589080199187119513e-01	2.179999936496037643e-05
1.475000000000000089e+00	5.999816198705104180e+05	4.500052045620775765e+00	1.396063487185252256e+02	2.402359401926615901e-01	4.026476960002404486e-06	1.432073052492321974e+00	2.846053055478976148e+03	3.614805839126924639e+03	2.330220321115785737e+03	2.460557430220273432e+02	2.208947518792630724e-02	2.425156712177985810e+03	6.589080230426739293e-01	2.180000058681866399e-05
1.475999999999999979e+00	5.999816074993646471e+05	4.500052087120824496e+00	1.396063479006409978e+02	2.402359282949372010e-01	4.026476939521949962e-06	1.432073049942718557e+00	2.846053001704230155e+03	3.614805861557069420e+03	2.330220323870356424e+03	2.460557416427072042e+02	2.208947512536223179e-02	2.425156724513412883e+03	6.589080256459755036e-01	2.179999937945469241e-05
1.477000000000000091e+00	5.999815949488660553e+05	4.500052128466458079e+00	1.396063470799743413e+02	2.402359429878349328e-01	4.026476919041496284e-06	1.432073047393114917e+00	2.846052947929484617e+03	3.614805883987213747e+03	2.330220326624927111e+03	2.460557402633871220e+02	2.208947506279815981e-02	2.425156736848839046e+03	6.589080282492769669e-01	2.180000058459899721e-05
1.477999999999999980e+00	5.999815825759359868e+05	4.500052169930442325e+00	1.396063462624767908e+02	2.402359310995824115e-01	4.026476898561042607e-06	1.432073044843511056e+00	2.846052894154738624e+03	3.614805906417358074e+03	2.330220329379497343e+03	2.460557388840669546e+02	2.208947500023408436e-02	2.425156749184265664e+03	6.589080308525785412e-01	2.179999937815493391e-05
1.479000000000000092e+00	5.999815700272213435e+05	4.500052211245074929e+00	1.396063454422283030e+02	2.402359457816885535e-01	4.026476878080588929e-06	1.432073042293907639e+00	2.846052840379992631e+03	3.614805928847502400e+03	2.330220332134067576e+03	2.460557375047468724e+02	2.208947493767001238e-02	2.425156761519692282e+03	6.589080334558800045e-01	2.180000058238524611e-05
1.479999999999999982e+00	5.999815576525086071e+05	4.500052252677596343e+00	1.396063446250622349e+02	2.402359339027937413e-01	4.026476857600134405e-06	1.432073039744303999e+00	2.846052786605247093e+03	3.614805951277647182e+03	2.330220334888638263e+03	2.460557361254267335e+02	2.208947487510593694e-02	2.425156773855119354e+03	6.589080360591814678e-01	2.179999937684211415e-05
1.481000000000000094e+00	5.999815451055762824e+05	4.500052293965507211e+00	1.396063438051804440e+02	2.402359485744014478e-01	4.026476837119679881e-06	1.432073037194700360e+00	2.846052732830501554e+03	3.614805973707791054e+03	2.330220337643208040e+03	2.460557347461066229e+02	2.208947481254186496e-02	2.425156786190546882e+03	6.589080386624825980e-01	2.180000058017700072e-05
1.481999999999999984e+00	5.999815327290812274e+05	4.500052335370618550e+00	1.396063429882972002e+02	2.402359367047523231e-01	4.026476816639226203e-06	1.432073034645096721e+00	2.846052679055755561e+03	3.614805996137935836e+03	2.330220340397778727e+03	2.460557333667865123e+02	2.208947474997779298e-02	2.425156798525974864e+03	6.589080412657840613e-01	2.179999937551703275e-05
1.483000000000000096e+00	5.999815201839301735e+05	4.500052376635856888e+00	1.396063421687335335e+02	2.402359513661501689e-01	4.026476796158772526e-06	1.432073032095493081e+00	2.846052625281010023e+03	3.614806018568080162e+03	2.330220343152348960e+03	2.460557319874664017e+02	2.208947468741371753e-02	2.425156810861401937e+03	6.589080438690855246e-01	2.180000057797509453e-05
1.483999999999999986e+00	5.999815078056547791e+05	4.500052418017645550e+00	1.396063413520841152e+02	2.402359395056247182e-01	4.026476775678318001e-06	1.432073029545889442e+00	2.846052571506264030e+03	3.614806040998224034e+03	2.330220345906919192e+03	2.460557306081462627e+02	2.208947462484964208e-02	2.425156823196829009e+03	6.589080464723866548e-01	2.179999937417957112e-05
1.485000000000000098e+00	5.999814952622842975e+05	4.500052459264193061e+00	1.396063405327907390e+02	2.402359541570970591e-01	4.026476755197864324e-06	1.432073026996285803e+00	2.846052517731518037e+03	3.614806063428369271e+03	2.330220348661489879e+03	2.460557292288261522e+02	2.208947456228557010e-02	2.425156835532256991e+03	6.589080490756881181e-01	2.180000057577914129e-05
1.485999999999999988e+00	5.999814828822286800e+05	4.500052500626400942e+00	1.396063397163302682e+02	2.402359423055714371e-01	4.026476734717410647e-06	1.432073024446682163e+00	2.846052463956772499e+03	3.614806085858513597e+03	2.330220351416060566e+03	2.460557278495060416e+02	2.208947449972149812e-02	2.425156847867684519e+03	6.589080516789894704e-01	2.179999937282981056e-05
1.487000000000000099e+00	5.999814703406372573e+05	4.500052541857932908e+00	1.396063388972629582e+02	2.402359569474040724e-01	4.026476714236956122e-06	1.432073021897078524e+00	2.846052410182026506e+03	3.614806108288657470e+03	2.330220354170630799e+03	2.460557264701859026e+02	2.208947443715742268e-02	2.425156860203112956e+03	6.589080542822906006e-01	2.180000057358992026e-05
1.487999999999999989e+00	5.999814579588021152e+05	4.500052583204346313e+00	1.396063380809460170e+02	2.402359451047481609e-01	4.026476693756502445e-06	1.432073019347474885e+00	2.846052356407280968e+03	3.614806130718802706e+03	2.330220356925201031e+03	2.460557250908657920e+02	2.208947437459334723e-02	2.425156872538540938e+03	6.589080568855919529e-01	2.179999937146789000e-05
1.489000000000000101e+00	5.999814454189895187e+05	4.500052624424571768e+00	1.396063372620603218e+02	2.402359597372115130e-01	4.026476673276047920e-06	1.432073016797871245e+00	2.846052302632535429e+03	3.614806153148946578e+03	2.330220359679771263e+03	2.460557237115456815e+02	2.208947431202927872e-02	2.425156884873968920e+03	6.589080594888928610e-01	2.180000057140613041e-05
1.489999999999999991e+00	5.999814330353772966e+05	4.500052665758582648e+00	1.396063364458462104e+02	2.402359479032972200e-01	4.026476652795594243e-06	1.432073014248267828e+00	2.846052248857789436e+03	3.614806175579091359e+03	2.330220362434341951e+03	2.460557223322255709e+02	2.208947424946520674e-02	2.425156897209397357e+03	6.589080620921941023e-01	2.179999937009342319e-05
1.491000000000000103e+00	5.999814204973395681e+05	4.500052706970903316e+00	1.396063356271011742e+02	2.402359625266693999e-01	4.026476632315140566e-06	1.432073011698663967e+00	2.846052195083043898e+03	3.614806198009235686e+03	2.330220365188912183e+03	2.460557209529054603e+02	2.208947418690112782e-02	2.425156909544824885e+03	6.589080646954954545e-01	2.180000056922864248e-05
1.491999999999999993e+00	5.999814081119523617e+05	4.500052748296013760e+00	1.396063348109479421e+02	2.402359507013675788e-01	4.026476611834686041e-06	1.432073009149060550e+00	2.846052141308297905e+03	3.614806220439380013e+03	2.330220367943482415e+03	2.460557195735853213e+02	2.208947412433705584e-02	2.425156921880254231e+03	6.589080672987963627e-01	2.179999936870697933e-05
1.493000000000000105e+00	5.999813955756895011e+05	4.500052789503707906e+00	1.396063339923042577e+02	2.402359653159142350e-01	4.026476591354232364e-06	1.432073006599456910e+00	2.846052087533551912e+03	3.614806242869524340e+03	2.330220370698053102e+03	2.460557181942652107e+02	2.208947406177298386e-02	2.425156934215682668e+03	6.589080699020973819e-01	2.180000056705714477e-05
1.493999999999999995e+00	5.999813831885280088e+05	4.500052830823162431e+00	1.396063331761729955e+02	2.402359534990936019e-01	4.026476570873778687e-06	1.432073004049853049e+00	2.846052033758806374e+03	3.614806265299668667e+03	2.330220373452622880e+03	2.460557168149450717e+02	2.208947399920890842e-02	2.425156946551112014e+03	6.589080725053986232e-01	2.179999936730854488e-05
1.495000000000000107e+00	5.999813706540389685e+05	4.500052872029552731e+00	1.396063323575906736e+02	2.402359681050876827e-01	4.026476550393325009e-06	1.432073001500249632e+00	2.846051979984060381e+03	3.614806287729813448e+03	2.330220376207193567e+03	2.460557154356249612e+02	2.208947393664483297e-02	2.425156958886539996e+03	6.589080751086997534e-01	2.180000056489217599e-05
1.495999999999999996e+00	5.999813582651045872e+05	4.500052913346524797e+00	1.396063315414432680e+02	2.402359562966097928e-01	4.026476529912870485e-06	1.432072998950645992e+00	2.846051926209314843e+03	3.614806310159957775e+03	2.330220378961763799e+03	2.460557140563048506e+02	2.208947387408076099e-02	2.425156971221969343e+03	6.589080777120006616e-01	2.179999936589811983e-05
1.497000000000000108e+00	5.999813457323877374e+05	4.500052954554695894e+00	1.396063307228853034e+02	2.402359708943141992e-01	4.026476509432416807e-06	1.432072996401042353e+00	2.846051872434569304e+03	3.614806332590102102e+03	2.330220381716334487e+03	2.460557126769847400e+02	2.208947381151668901e-02	2.425156983557398689e+03	6.589080803153015697e-01	2.180000056273330246e-05
