xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
4.200000000000000178e+00	4.505097274049725264e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.250000000000000000e+00	4.505157698029413460e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.299999999999999822e+00	4.505218122900000566e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.350000000000000533e+00	4.505278563660115587e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.400000000000000355e+00	4.505338966902967535e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.450000000000000178e+00	4.505399361915787715e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.500000000000000000e+00	4.505459752733646184e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.549999999999999822e+00	4.505520132262070376e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.600000000000000533e+00	4.505580513396280296e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.650000000000000355e+00	4.505640895742446972e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.700000000000000178e+00	4.505701273096560655e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.750000000000000000e+00	4.505761605422188509e+00	0.000000000000000000e+00	1.621670120032514717e+01
