xcoord (m)	temperature (K)
5.900000000000000000e+01	1.147104830658103083e+02
5.950000000000000000e+01	1.145463033778930395e+02
6.000000000000000000e+01	1.143821520495366855e+02
6.050000000000000000e+01	1.142180380350952902e+02
6.100000000000000000e+01	1.140539528959683082e+02
6.150000000000000000e+01	1.138899068939934835e+02
6.200000000000000000e+01	1.137258901976217373e+02
6.250000000000000000e+01	1.135619145814244462e+02
6.300000000000000000e+01	1.133979686013097705e+02
6.350000000000000000e+01	1.132340657802158290e+02
6.400000000000000000e+01	1.130701928093549355e+02
6.450000000000000000e+01	1.129063652305688379e+02
6.500000000000000000e+01	1.127425675808340202e+02
6.550000000000000000e+01	1.125788177314896075e+02
6.600000000000000000e+01	1.124150977328470873e+02
6.650000000000000000e+01	1.122514281422716920e+02
6.700000000000000000e+01	1.120877881418141158e+02
6.750000000000000000e+01	1.119242013840298426e+02
6.800000000000000000e+01	1.117606437447919916e+02
6.850000000000000000e+01	1.115971424412852855e+02
6.900000000000000000e+01	1.114336695408120335e+02
6.950000000000000000e+01	1.112702563636041191e+02
7.000000000000000000e+01	1.111068705922314592e+02
7.050000000000000000e+01	1.109435482672880084e+02
7.100000000000000000e+01	1.107802520260956385e+02
7.150000000000000000e+01	1.106170233371187237e+02
7.200000000000000000e+01	1.104538190355065268e+02
7.250000000000000000e+01	1.102906868281554864e+02
7.300000000000000000e+01	1.101275768809912421e+02
7.350000000000000000e+01	1.099645440675909498e+02
7.400000000000000000e+01	1.098015308918680404e+02
7.450000000000000000e+01	1.096386004566648324e+02
7.500000000000000000e+01	1.094756864676029693e+02
7.550000000000000000e+01	1.093128614726432630e+02
7.600000000000000000e+01	1.091500490791572560e+02
7.650000000000000000e+01	1.089873326708663370e+02
7.700000000000000000e+01	1.088246242703183810e+02
7.750000000000000000e+01	1.086620196868750554e+02
7.800000000000000000e+01	1.084994176590157480e+02
7.850000000000000000e+01	1.083369282386277632e+02
7.900000000000000000e+01	1.081744349386176651e+02
7.950000000000000000e+01	1.080120641288138614e+02
8.000000000000000000e+01	1.078496818792092142e+02
8.050000000000000000e+01	1.076874332472857958e+02
8.100000000000000000e+01	1.075251643288490300e+02
8.150000000000000000e+01	1.073630415736179913e+02
8.200000000000000000e+01	1.072008882148032569e+02
8.250000000000000000e+01	1.070388951798146309e+02
8.300000000000000000e+01	1.068768595447567549e+02
8.350000000000000000e+01	1.067150002331826073e+02
8.400000000000000000e+01	1.065530844079930120e+02
8.450000000000000000e+01	1.063913629993877521e+02
8.500000000000000000e+01	1.062295689765410458e+02
8.550000000000000000e+01	1.060679898457180315e+02
8.600000000000000000e+01	1.059063195062781375e+02
8.650000000000000000e+01	1.057448872445684742e+02
8.700000000000000000e+01	1.055833423379804401e+02
8.750000000000000000e+01	1.054220617771750597e+02
8.800000000000000000e+01	1.052606438983022485e+02
8.850000000000000000e+01	1.050995201376130552e+02
8.900000000000000000e+01	1.049382307006706867e+02
8.950000000000000000e+01	1.047772691370879983e+02
9.000000000000000000e+01	1.046161093460723919e+02
9.050000000000000000e+01	1.044553157085397999e+02
9.100000000000000000e+01	1.042942865237086210e+02
9.150000000000000000e+01	1.041336669115901117e+02
9.200000000000000000e+01	1.039727690114901719e+02
9.250000000000000000e+01	1.038123299378589195e+02
9.300000000000000000e+01	1.036515636763432582e+02
9.350000000000000000e+01	1.034913121166818541e+02
9.400000000000000000e+01	1.033306774743087146e+02
9.450000000000000000e+01	1.031706209212074015e+02
9.500000000000000000e+01	1.030101174506224737e+02
9.550000000000000000e+01	1.028502639740708560e+02
9.600000000000000000e+01	1.026898907429054901e+02
9.650000000000000000e+01	1.025302490408001717e+02
9.700000000000000000e+01	1.023700046320811055e+02
9.750000000000000000e+01	1.022105838433277256e+02
9.800000000000000000e+01	1.020504672706201603e+02
9.850000000000000000e+01	1.018912733289406560e+02
9.900000000000000000e+01	1.017312979706283329e+02
9.950000000000000000e+01	1.015722810223184354e+02
1.000000000000000000e+02	1.014126724610145374e+02
