xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
6.550000000000000000e+01	2.933828609655823675e+05	1.111917364012618634e+02	9.290004313245447065e+00	-7.134598126328217660e+00	1.192405094056637853e-02	3.722360546516027675e-06	8.406452182895707281e-01	7.067387367419131280e-06	9.855728449110269139e+04	1.144265949378960386e+03	7.712604729436073967e+02	1.972862107521010557e+02	9.619956837514617373e-03	4.136258428774123313e+05	4.055928692692170601e-01	-2.248842598463288711e-01
6.600000000000000000e+01	2.935982547272880911e+05	1.110275797183774813e+02	9.312794677029403445e+00	-7.117189958603686861e+00	1.192567221446854363e-02	3.719958806511805076e-06	8.406993355932973477e-01	7.067510514506657323e-06	9.855353738617330964e+04	1.144354654248149245e+03	7.712837975218637894e+02	1.972813404000264086e+02	9.620250913503762547e-03	4.136186356977737159e+05	4.055965460622822372e-01	-2.248858931811840989e-01
6.650000000000000000e+01	2.938132215438071871e+05	1.108634751128342799e+02	9.335652478138536381e+00	-7.099769524804199428e+00	1.192729396745931085e-02	3.717560460092012261e-06	8.407534649968065876e-01	7.067633675703917594e-06	9.854978990572184557e+04	1.144443385239256031e+03	7.713071270666879400e+02	1.972764695669461616e+02	9.620545077960850761e-03	4.136114279435636126e+05	4.056002223912966165e-01	-2.248860702799373168e-01
6.700000000000000000e+01	2.940275586020832416e+05	1.106994015684551727e+02	9.358573397646146930e+00	-7.082435942559627051e+00	1.192891619976968465e-02	3.715165500202548258e-06	8.408076065064036264e-01	7.067756851014892301e-06	9.854604204964179371e+04	1.144532142365186701e+03	7.713304615802995841e+02	1.972715982527165579e+02	9.620839330913797185e-03	4.136042196146222996e+05	4.056038982559347916e-01	-2.248878198192211797e-01
6.750000000000000000e+01	2.942414865494553815e+05	1.105353829834670734e+02	9.381562901586299574e+00	-7.065082193466351690e+00	1.193053891163085335e-02	3.712773919808929800e-06	8.408617601283978615e-01	7.067880040443560804e-06	9.854229381782661949e+04	1.144620925638856079e+03	7.713538010649207308e+02	1.972667264571936698e+02	9.621133672390537808e-03	4.135970107107899967e+05	4.056075736558708567e-01	-2.248878754641635558e-01
6.800000000000000000e+01	2.944547699976033182e+05	1.103713950032213944e+02	9.404615904991759479e+00	-7.047822998373312942e+00	1.193216210327417356e-02	3.710385711896227800e-06	8.409159258691054628e-01	7.068003243993907546e-06	9.853854521016977378e+04	1.144709735073190814e+03	7.713771455227752085e+02	1.972618541802335983e+02	9.621428102419019024e-03	4.135898012319069821e+05	4.056112485907788501e-01	-2.248897594277708134e-01
6.850000000000000000e+01	2.946676646079872735e+05	1.102074651262091720e+02	9.427738710075663775e+00	-7.030534595038856693e+00	1.193378577493115975e-02	3.708000869468995353e-06	8.409701037348460417e-01	7.068126461669916971e-06	9.853479622656456195e+04	1.144798570681125511e+03	7.714004949560895739e+02	1.972569814216922737e+02	9.621722621027202840e-03	4.135825911778134760e+05	4.056149230603320333e-01	-2.248896742251204062e-01
6.900000000000000000e+01	2.948798973131732200e+05	1.100435651520238878e+02	9.450925341722420825e+00	-7.013349681679558856e+00	1.193540992683348421e-02	3.705619385551202936e-06	8.410242937319463152e-01	7.068249693475574369e-06	9.853104686690436210e+04	1.144887432475606829e+03	7.714238493670918615e+02	1.972521081814256263e+02	9.622017228243066878e-03	4.135753805483493488e+05	4.056185970642037786e-01	-2.248917136509196169e-01
6.950000000000000000e+01	2.950917642675501993e+05	1.098797267231030901e+02	9.474183072007475559e+00	-6.996125207066346441e+00	1.193703455921300144e-02	3.703241253186171917e-06	8.410784958667362199e-01	7.068372939414869264e-06	9.852729713108239230e+04	1.144976320469589837e+03	7.714472087580124935e+02	1.972472344592894444e+02	9.622311924094611307e-03	4.135681693433546461e+05	4.056222706020667923e-01	-2.248914651856411262e-01
7.000000000000000000e+01	2.953029488444832386e+05	1.097159172115147925e+02	9.497504892099579266e+00	-6.979014574685144190e+00	1.193865967230171160e-02	3.700866465436501290e-06	8.411327101455531308e-01	7.068496199491792029e-06	9.852354701899187057e+04	1.145065234676041882e+03	7.714705731310845067e+02	1.972423602551394879e+02	9.622606708609844975e-03	4.135609575626693550e+05	4.056259436735931145e-01	-2.248936843544392383e-01
7.050000000000000000e+01	2.955137940021066461e+05	1.095521730269846046e+02	9.520899198524636731e+00	-6.961852520738289307e+00	1.194028526633179876e-02	3.698495015384009646e-06	8.411869365747370875e-01	7.068619473710333883e-06	9.851979653052586946e+04	1.145154175107937590e+03	7.714939424885424160e+02	1.972374855688314028e+02	9.622901581816794073e-03	4.135537452061332297e+05	4.056296162784550074e-01	-2.248932467350577280e-01
7.100000000000000000e+01	2.957239327828130336e+05	1.093884564471190401e+02	9.544357782721966998e+00	-6.944816286681959383e+00	1.194191134153560485e-02	3.696126896129664029e-06	8.412411751606363453e-01	7.068742762074490281e-06	9.851604566557753424e+04	1.145243141778264544e+03	7.715173168326230098e+02	1.972326104002207785e+02	9.623196543743500406e-03	4.135465322735857917e+05	4.056332884163241226e-01	-2.248956736582879423e-01
7.150000000000000000e+01	2.959337622148055234e+05	1.092248093633352397e+02	9.567890344363789268e+00	-6.927715039610265357e+00	1.194353789814563485e-02	3.693762100793512592e-06	8.412954259096020460e-01	7.068866064588256677e-06	9.851229442403982102e+04	1.145332134700018287e+03	7.715406961655658051e+02	1.972277347491630337e+02	9.623491594418023126e-03	4.135393187648670864e+05	4.056369600868711678e-01	-2.248950169946543343e-01
7.200000000000000000e+01	2.961428572139512980e+05	1.090611881945076505e+02	9.591487283266353359e+00	-6.910753454685685249e+00	1.194516493639456896e-02	3.691400622514623192e-06	8.413496888279914376e-01	7.068989381255631066e-06	9.850854280580575869e+04	1.145421153886205957e+03	7.715640804896115696e+02	1.972228586155136725e+02	9.623786733868438734e-03	4.135321046798164025e+05	4.056406312897677391e-01	-2.248976839737398814e-01
7.250000000000000000e+01	2.963516772416341701e+05	1.088976411321923337e+02	9.615159808732105517e+00	-6.893711278206106741e+00	1.194679245651524349e-02	3.689042454451013505e-06	8.414039639221674305e-01	7.069112712080613138e-06	9.850479081076818693e+04	1.145510199349844470e+03	7.715874698070040267e+02	1.972179819991279714e+02	9.624081962122834136e-03	4.135248900182734360e+05	4.056443020246837117e-01	-2.248967737781586151e-01
7.300000000000000000e+01	2.965597301167729893e+05	1.087341178610757169e+02	9.638896707236229489e+00	-6.876824744215612739e+00	1.194842045874067171e-02	3.686687589779586231e-06	8.414582511984970425e-01	7.069236057067204277e-06	9.850103843881995999e+04	1.145599271103960064e+03	7.716108641199887188e+02	1.972131048998612073e+02	9.624377279209318792e-03	4.135176747800776502e+05	4.056479722912894603e-01	-2.248997180457877054e-01
7.350000000000000000e+01	2.967675473553919001e+05	1.085706738101186346e+02	9.662710936210899604e+00	-6.859839760484796045e+00	1.195004894330403168e-02	3.684336021696071917e-06	8.415125506633539532e-01	7.069359416219408407e-06	9.849728568985391757e+04	1.145688369161590572e+03	7.716342634308130073e+02	1.972082273175684861e+02	9.624672685156012569e-03	4.135104589650682756e+05	4.056516420892549157e-01	-2.248985145466068369e-01
7.400000000000000000e+01	2.969745593614297686e+05	1.084072509274199376e+02	9.686589412717790282e+00	-6.843028850233737082e+00	1.195167791043865238e-02	3.681987743414946799e-06	8.415668623231163936e-01	7.069482789541231148e-06	9.849353256376273930e+04	1.145777493535782924e+03	7.716576677417272094e+02	1.972033492521049709e+02	9.624968179991054418e-03	4.135032425730846007e+05	4.056553114182488984e-01	-2.249017790015775398e-01
7.450000000000000000e+01	2.971813807700329344e+05	1.082439129522353909e+02	9.710547117688182794e+00	-6.826099018152719466e+00	1.195330736037804667e-02	3.679642748169387057e-06	8.416211861841674802e-01	7.069606177036678964e-06	9.848977906043910480e+04	1.145866644239594734e+03	7.716810770549831204e+02	1.971984707033255972e+02	9.625263763742598899e-03	4.134960256039659726e+05	4.056589802779405618e-01	-2.249002363567953466e-01
7.500000000000000000e+01	2.973873527071072021e+05	1.080805929488116988e+02	9.734568803142485294e+00	-6.809364498262111098e+00	1.195493729335589742e-02	3.677301029211194702e-06	8.416755222528967684e-01	7.069729578709763405e-06	9.848602517977560638e+04	1.145955821286093624e+03	7.717044913728348092e+02	1.971935916710853576e+02	9.625559436438812719e-03	4.134888080575512722e+05	4.056626486679988375e-01	-2.249038704056892379e-01
7.550000000000000000e+01	2.975931856454309891e+05	1.079173641943267654e+02	9.758671791321747335e+00	-6.792487588799728471e+00	1.195656770960604187e-02	3.674962579810734474e-06	8.417298705356979216e-01	7.069852994564493477e-06	9.848227092166485090e+04	1.146045024688357898e+03	7.717279106975390732e+02	1.971887121552390454e+02	9.625855198107886868e-03	4.134815899336798466e+05	4.056663165880914912e-01	-2.249019358024145765e-01
7.600000000000000000e+01	2.977981177992895246e+05	1.077541495566684659e+02	9.782838328054237920e+00	-6.775830445701508609e+00	1.195819860936249077e-02	3.672627393256870309e-06	8.417842310389704874e-01	7.069976424604883269e-06	9.847851628599929973e+04	1.146134254459475187e+03	7.717513350313538467e+02	1.971838321556414542e+02	9.626151048778019276e-03	4.134743712321905186e+05	4.056699840378866773e-01	-2.249059963232129256e-01
7.650000000000000000e+01	2.980029700926253572e+05	1.075910332550227082e+02	9.807088443535082689e+00	-6.759004013835764546e+00	1.195982999285941789e-02	3.670295462856904361e-06	8.418386037691196755e-01	7.070099868834947717e-06	9.847476127267139964e+04	1.146223510612544715e+03	7.717747643765404746e+02	1.971789516721472069e+02	9.626446988477428690e-03	4.134671519529221696e+05	4.056736510170513288e-01	-2.249036089468877120e-01
7.700000000000000000e+01	2.982068621664730017e+05	1.074279264600161525e+02	9.831401483880371828e+00	-6.742425483376418782e+00	1.196146186033117571e-02	3.667966781936512619e-06	8.418929887325546924e-01	7.070223327258703452e-06	9.847100588157351012e+04	1.146312793160674119e+03	7.717981987353613249e+02	1.971740707046109833e+02	9.626743017234351205e-03	4.134599320957136806e+05	4.056773175252531560e-01	-2.249081613916988909e-01
7.750000000000000000e+01	2.984107421796164708e+05	1.072649259380695241e+02	9.855800610048198962e+00	-6.725646836200828815e+00	1.196309421201227803e-02	3.665641343839680114e-06	8.419473859356917389e-01	7.070346799880169645e-06	9.846725011259797611e+04	1.146402102116983087e+03	7.718216381100816079e+02	1.971691892528872074e+02	9.627039135077033322e-03	4.134527116604038747e+05	4.056809835621584814e-01	-2.249052512467585863e-01
7.800000000000000000e+01	2.986135932162531535e+05	1.071019294469472101e+02	9.880261814703674261e+00	-6.709148437335111126e+00	1.196472704813739824e-02	3.663319141928636542e-06	8.420017953849509018e-01	7.070470286703367161e-06	9.846349396563706978e+04	1.146491437494600405e+03	7.718450825029685802e+02	1.971643073168303886e+02	9.627335342033744095e-03	4.134454906468311674e+05	4.056846491274336830e-01	-2.249103709031862464e-01
7.850000000000000000e+01	2.988165099377873703e+05	1.069390481347004140e+02	9.904811876945711191e+00	-6.692414597818085120e+00	1.196636036894139360e-02	3.661000169583803751e-06	8.420562170867583740e-01	7.070593787732318560e-06	9.845973744058297598e+04	1.146580799306665540e+03	7.718685319162917722e+02	1.971594248962948086e+02	9.627631638132764721e-03	4.134382690548343235e+05	4.056883142207446391e-01	-2.249068574643348362e-01
7.900000000000000000e+01	2.990183182307094685e+05	1.067761643860690270e+02	9.929422913033706166e+00	-6.675998170937094578e+00	1.196799417465927579e-02	3.658684420203721200e-06	8.421106510475451223e-01	7.070717302971047248e-06	9.845598053732782137e+04	1.146670187566328423e+03	7.718919863523221920e+02	1.971545419911348063e+02	9.627928023402393745e-03	4.134310468842518749e+05	4.056919788417570616e-01	-2.249126308976998612e-01
7.950000000000000000e+01	2.992202813690367620e+05	1.066134058261189068e+02	9.954125881784740670e+00	-6.659305836756752583e+00	1.196962846552623513e-02	3.656371887204990053e-06	8.421650972737483309e-01	7.070840832423581714e-06	9.845222325576373260e+04	1.146759602286748759e+03	7.719154458133342587e+02	1.971496586012045498e+02	9.628224497870943588e-03	4.134238241349222953e+05	4.056956429901359407e-01	-2.249084215681410315e-01
8.000000000000000000e+01	2.994210443609926733e+05	1.064506372279462738e+02	9.978888420574081763e+00	-6.642973587264212831e+00	1.197126324177762678e-02	3.654062564022214738e-06	8.422195557718100689e-01	7.070964376093949600e-06	9.844846559578273445e+04	1.146849043481097397e+03	7.719389103016035278e+02	1.971447747263581221e+02	9.628521061566745753e-03	4.134166008066838258e+05	4.056993066655461555e-01	-2.249149482697607449e-01
8.050000000000000000e+01	2.996220644537219778e+05	1.062880050861104309e+02	1.000374631474533871e+01	-6.626319084065798393e+00	1.197289850364897761e-02	3.651756444107934757e-06	8.422740265481769573e-01	7.071087933986181088e-06	9.844470755727679352e+04	1.146938511162554278e+03	7.719623798194082838e+02	1.971398903664495492e+02	9.628817714518145623e-03	4.134093768993747071e+05	4.057029698676520857e-01	-2.249099366194914351e-01
8.100000000000000000e+01	2.998217786210151389e+05	1.061253540065351189e+02	1.002866202898260539e+01	-6.610073631896175250e+00	1.197453425137597408e-02	3.649453520932564973e-06	8.423285096093019453e-01	7.071211506104308056e-06	9.844094914013778907e+04	1.147028005344310941e+03	7.719858543690287433e+02	1.971350055213328005e+02	9.629114456753507661e-03	4.134021524128334131e+05	4.057066325961176667e-01	-2.249173308896748325e-01
8.150000000000000000e+01	3.000218671595204505e+05	1.059628520837975429e+02	1.005367691982668177e+01	-6.593452860236761914e+00	1.197617048519447787e-02	3.647153787984338011e-06	8.423830049616432003e-01	7.071335092452364921e-06	9.843719034425761492e+04	1.147117526039568475e+03	7.720093339527472835e+02	1.971301201908617315e+02	9.629411288301208474e-03	4.133949273468977772e+05	4.057102948506068341e-01	-2.249113946433479450e-01
8.200000000000000000e+01	3.002205278801271343e+05	1.058003208406056359e+02	1.007874748062080172e+01	-6.577297296096927148e+00	1.197780720534052760e-02	3.644857238769245387e-06	8.424375126116639967e-01	7.071458693034387794e-06	9.843343116952804849e+04	1.147207073261538426e+03	7.720328185728486687e+02	1.971252343748901126e+02	9.629708209189642015e-03	4.133877017014060402e+05	4.057139566307826350e-01	-2.249197877416197477e-01
8.250000000000000000e+01	3.004196974513349705e+05	1.056379530865547451e+02	1.010392149609276480e+01	-6.560705671246624959e+00	1.197944441205031976e-02	3.642563866810969748e-06	8.424920325658327158e-01	7.071582307854415331e-06	9.842967161584083806e+04	1.147296647023442574e+03	7.720563082316198233e+02	1.971203480732716002e+02	9.630005219447223055e-03	4.133804754761961522e+05	4.057176179363079505e-01	-2.249127864813136313e-01
8.300000000000000000e+01	3.006172988546490669e+05	1.054755439351526007e+02	1.012914856928831497e+01	-6.544643620462045952e+00	1.198108210556022082e-02	3.640273665650826850e-06	8.425465648306238453e-01	7.071705936916486182e-06	9.842591168308765918e+04	1.147386247338513840e+03	7.720798029313496045e+02	1.971154612858598796e+02	9.630302319102375039e-03	4.133732486711059464e+05	4.057212787668452170e-01	-2.249223290807335074e-01
8.350000000000000000e+01	3.008155633023804985e+05	1.053133144631034384e+02	1.015448389897138881e+01	-6.528076004127001397e+00	1.198272028610677421e-02	3.637986628847711769e-06	8.426011094125164247e-01	7.071829580224644084e-06	9.842215137116011465e+04	1.147475874219994466e+03	7.721033026743294840e+02	1.971105740125084367e+02	9.630599508183543961e-03	4.133660212859731400e+05	4.057249391220565937e-01	-2.249141016243695335e-01
8.400000000000000000e+01	3.010120980981125031e+05	1.051510295827872170e+02	1.017986914093785344e+01	-6.512111699086435834e+00	1.198435895392669162e-02	3.635702749978033684e-06	8.426556663179952666e-01	7.071953237782930231e-06	9.841839067994977813e+04	1.147565527681137382e+03	7.721268074628527529e+02	1.971056862530707292e+02	9.630896786719187960e-03	4.133587933206356829e+05	4.057285990016040733e-01	-2.249249666118156854e-01
8.450000000000000000e+01	3.012094727066117339e+05	1.049889426868016500e+02	1.020536804161169542e+01	-6.495562321998633593e+00	1.198599810925684607e-02	3.633422022635654462e-06	8.427102355535505129e-01	7.072076909595392593e-06	9.841462960934816510e+04	1.147655207735206432e+03	7.721503172992149757e+02	1.971007980074001296e+02	9.631194154737784258e-03	4.133515647749310592e+05	4.057322584051485381e-01	-2.249153280226498519e-01
8.500000000000000000e+01	3.014049319900434930e+05	1.048267841651045842e+02	1.023091309436526863e+01	-6.479700684315819359e+00	1.198763775233429099e-02	3.631144440431836992e-06	8.427648171256777454e-01	7.072200595666078294e-06	9.841086815924668917e+04	1.147744914395475007e+03	7.721738321857143319e+02	1.970959092753499249e+02	9.631491612267822217e-03	4.133443356486969860e+05	4.057359173323512591e-01	-2.249277136924782705e-01
8.550000000000000000e+01	3.016014336926672258e+05	1.046648443391505765e+02	1.025657789630539796e+01	-6.463163058502605196e+00	1.198927788339624635e-02	3.628869996995179964e-06	8.428194110408779860e-01	7.072324295999035304e-06	9.840710632953673485e+04	1.147834647675227870e+03	7.721973521246503651e+02	1.970910200567732886e+02	9.631789159337810283e-03	4.133371059417710640e+05	4.057395757828726190e-01	-2.249164518691771364e-01
8.600000000000000000e+01	3.017958067231011228e+05	1.045028141540144020e+02	1.028228438186944871e+01	-6.447409792155260000e+00	1.199091850268010732e-02	3.626598685971558997e-06	8.428740173056575857e-01	7.072448010598317523e-06	9.840334412010965752e+04	1.147924407587759561e+03	7.722208771183256886e+02	1.970861303515233942e+02	9.632086795976274249e-03	4.133298756539903698e+05	4.057432337563730562e-01	-2.249305855640349183e-01
8.650000000000000000e+01	3.019914543395300861e+05	1.043410261135348804e+02	1.030811749597840787e+01	-6.430876611551536115e+00	1.199255961042342347e-02	3.624330501024073702e-06	8.429286359265277806e-01	7.072571739467977157e-06	9.839958153085668164e+04	1.148014194146374621e+03	7.722444071690446208e+02	1.970812401594531877e+02	9.632384522211753786e-03	4.133226447851926205e+05	4.057468912525121207e-01	-2.249174573541080080e-01
8.700000000000000000e+01	3.021847282883620937e+05	1.041791261130268111e+02	1.033398700987511276e+01	-6.415238308415275092e+00	1.199420120686393865e-02	3.622065435832986697e-06	8.429832669100059128e-01	7.072695482612068952e-06	9.839581856166904618e+04	1.148104007364389417e+03	7.722679422791137540e+02	1.970763494804157290e+02	9.632682338072809380e-03	4.133154133352147765e+05	4.057505482709494737e-01	-2.249335996137714622e-01
8.750000000000000000e+01	3.023795427941294620e+05	1.040174948192179158e+02	1.035999093576009678e+01	-6.398701336314666754e+00	1.199584329223955109e-02	3.619803484095659653e-06	8.430379102626147647e-01	7.072819240034651889e-06	9.839205521243788826e+04	1.148193847255129640e+03	7.722914824508418405e+02	1.970714583142637935e+02	9.632980243588008459e-03	4.133081813038943801e+05	4.057542048113438882e-01	-2.249183263855854820e-01
8.800000000000000000e+01	3.025717024585130275e+05	1.038557266984731910e+02	1.038602503951206835e+01	-6.383185595687090874e+00	1.199748586678833426e-02	3.617544639526504165e-06	8.430925659908816705e-01	7.072943011739783258e-06	9.838829148305430135e+04	1.148283713831931209e+03	7.723150276865400201e+02	1.970665666608502420e+02	9.633278238785944469e-03	4.133009486910683336e+05	4.057578608733544701e-01	-2.249367756727802814e-01
8.850000000000000000e+01	3.027657072911353898e+05	1.036942573856128860e+02	1.041220237463868514e+01	-6.366635537339504936e+00	1.199912893074853333e-02	3.615288895856922888e-06	8.431472341013399596e-01	7.073066797731526274e-06	9.838452737340927706e+04	1.148373607108141186e+03	7.723385779885217062e+02	1.970616745200277080e+02	9.633576323695223001e-03	4.132937154965735972e+05	4.057615164566390487e-01	-2.249190382727698501e-01
8.900000000000000000e+01	3.029567347686831490e+05	1.035326226606455577e+02	1.043840258714257629e+01	-6.351251101248833741e+00	1.200077248435856350e-02	3.613036246835246854e-06	8.432019146005288457e-01	7.073190598013942462e-06	9.838076288339383609e+04	1.148463527097117321e+03	7.723621333591021312e+02	1.970567818916488818e+02	9.633874498344463522e-03	4.132864817202473641e+05	4.057651715608556198e-01	-2.249401363540291243e-01
8.950000000000000000e+01	3.031499561752309091e+05	1.033713208668513346e+02	1.046475603721245129e+01	-6.334677459702322544e+00	1.200241652785701690e-02	3.610786686226682531e-06	8.432566074949918722e-01	7.073314412591097578e-06	9.837699801289885363e+04	1.148553473812227139e+03	7.723856938005992561e+02	1.970518887755662547e+02	9.634172762762309786e-03	4.132792473619262455e+05	4.057688261856616796e-01	-2.249195693661001638e-01
9.000000000000000000e+01	3.033398304946197895e+05	1.032098208448338283e+02	1.049112382482806183e+01	-6.319434366016534632e+00	1.200406106148264700e-02	3.608540207813255075e-06	8.433113127912786888e-01	7.073438241467057382e-06	9.837323276181521942e+04	1.148643447266848852e+03	7.724092593153327471e+02	1.970469951716322896e+02	9.634471116977412486e-03	4.132720124214473763e+05	4.057724803307142802e-01	-2.249437074359385280e-01
9.050000000000000000e+01	3.035322979261799483e+05	1.030486924466771512e+02	1.051765621554731389e+01	-6.302825279065509712e+00	1.200570608547439112e-02	3.606296805393751150e-06	8.433660304959446075e-01	7.073562084645893561e-06	9.836946713003366312e+04	1.148733447474371587e+03	7.724328299056247715e+02	1.970421010796993642e+02	9.634769561018444867e-03	4.132647768986470765e+05	4.057761339956704183e-01	-2.249198926491514650e-01
9.100000000000000000e+01	3.037209946278671850e+05	1.028873281922356142e+02	1.054419298072496680e+01	-6.287735034667832679e+00	1.200735160007135316e-02	3.604056472783661761e-06	8.434207606155494918e-01	7.073685942131674413e-06	9.836570111744497262e+04	1.148823474448194247e+03	7.724564055737997705e+02	1.970372064996197707e+02	9.635068094914094050e-03	4.132575407933624228e+05	4.057797871801862022e-01	-2.249475182974240428e-01
9.150000000000000000e+01	3.039127411870500073e+05	1.027263794436883870e+02	1.057090727115361517e+01	-6.271077090506602225e+00	1.200899760551280525e-02	3.601819203815125496e-06	8.434755031566594230e-01	7.073809813928473320e-06	9.836193472393979027e+04	1.148913528201726876e+03	7.724799863221843452e+02	1.970323114312457164e+02	9.635366718693064506e-03	4.132503041054296191e+05	4.057834398839173518e-01	-2.249199772758014304e-01
9.200000000000000000e+01	3.041002318475701613e+05	1.025651517407116415e+02	1.059761433939828379e+01	-6.256152867082017899e+00	1.201064410203819648e-02	3.599584992336876014e-06	8.435302581258460330e-01	7.073933700040366205e-06	9.835816794940875843e+04	1.149003608748389752e+03	7.725035721531071431e+02	1.970274158744292947e+02	9.635665432384074580e-03	4.132430668346855091e+05	4.057870921065197534e-01	-2.249516024111312407e-01
9.250000000000000000e+01	3.042912947959923767e+05	1.024043893169639716e+02	1.062451363709521779e+01	-6.239430895966671109e+00	1.201229108988715114e-02	3.597353832214182325e-06	8.435850255296858391e-01	7.074057600471428991e-06	9.835440079374240304e+04	1.149093716101614064e+03	7.725271630688990854e+02	1.970225198290225990e+02	9.635964236015863438e-03	4.132358289809661219e+05	4.057907438476485162e-01	-2.249197880455582887e-01
9.300000000000000000e+01	3.044775464884777903e+05	1.022432986253569283e+02	1.065139224203970691e+01	-6.224687751256061219e+00	1.201393856929945658e-02	3.595125717328797127e-06	8.436398053747605763e-01	7.074181515225740141e-06	9.835063325683123549e+04	1.149183850274840779e+03	7.725507590718935944e+02	1.970176232948775237e+02	9.636263129617185855e-03	4.132285905441078939e+05	4.057943951069584165e-01	-2.249559979024070011e-01
9.350000000000000000e+01	3.046679678220306523e+05	1.020827296721067796e+02	1.067847982024674991e+01	-6.207884590148217363e+00	1.201558654051508405e-02	3.592900641578897085e-06	8.436945976676578640e-01	7.074305444307379812e-06	9.834686533856566530e+04	1.149274011281521780e+03	7.725743601644261389e+02	1.970127262718459633e+02	9.636562113216808750e-03	4.132213515239473199e+05	4.057980458841038418e-01	-2.249192848090363073e-01
9.400000000000000000e+01	3.048529425046683173e+05	1.019217760788574196e+02	1.070553108657516006e+01	-6.193339717875879558e+00	1.201723500377416785e-02	3.590678598879032011e-06	8.437494024149720939e-01	7.074429387720432398e-06	9.834309703883610200e+04	1.149364199135120771e+03	7.725979663488342339e+02	1.970078287597796987e+02	9.636861186843519861e-03	4.132141119203203707e+05	4.058016961787387911e-01	-2.249607481825129374e-01
9.450000000000000000e+01	3.050427696053656982e+05	1.017614082677459209e+02	1.073281040371596617e+01	-6.176435944673654532e+00	1.201888395931702269e-02	3.588459583160067266e-06	8.438042196232998782e-01	7.074553345468980597e-06	9.833932835753282416e+04	1.149454413849109642e+03	7.726215776274580094e+02	1.970029307585304537e+02	9.637160350526124269e-03	4.132068717330631916e+05	4.058053459905167082e-01	-2.249184217945747188e-01
9.500000000000000000e+01	3.052264234284596168e+05	1.016005914315951344e+02	1.076003532764477200e+01	-6.162108956743686861e+00	1.202053340738413328e-02	3.586243588369132091e-06	8.438590492992469327e-01	7.074677317557112191e-06	9.833555929454613943e+04	1.149544655436972334e+03	7.726451940026393004e+02	1.969980322679498386e+02	9.637459604293433998e-03	4.131996309620118118e+05	4.058089953190912591e-01	-2.249659026656820049e-01
9.550000000000000000e+01	3.054157098027660977e+05	1.014404330225440418e+02	1.078751004945050873e+01	-6.145082590291562674e+00	1.202218334821615955e-02	3.584030608469562006e-06	8.439138914494219712e-01	7.074801303988914960e-06	9.833178984976616630e+04	1.149634923912203931e+03	7.726688154767227843e+02	1.969931332878893500e+02	9.637758948174294030e-03	4.131923896070020855e+05	4.058126441641147220e-01	-2.249171468458059930e-01
9.600000000000000000e+01	3.055979923239034251e+05	1.012797521114634520e+02	1.081490947643585443e+01	-6.130995835284882567e+00	1.202383378205393490e-02	3.581820637440843759e-06	8.439687460804401464e-01	7.074925304768479227e-06	9.832802002308311057e+04	1.149725219288308381e+03	7.726924420520551848e+02	1.969882338182005128e+02	9.638058382197551080e-03	4.131851476678699837e+05	4.058162925252399855e-01	-2.249715175807779355e-01
9.650000000000000000e+01	3.057867984386803000e+05	1.011198120227629289e+02	1.084258350105042013e+01	-6.113821996895842048e+00	1.202548470913845577e-02	3.579613669278568733e-06	8.440236131989212742e-01	7.075049319899897007e-06	9.832424981438701798e+04	1.149815541578801231e+03	7.727160737309849310e+02	1.969833338587346248e+02	9.638357906392076152e-03	4.131779051444513607e+05	4.058199404021186063e-01	-2.249154005588024918e-01
9.700000000000000000e+01	3.059676517341890722e+05	1.009592656433437412e+02	1.087015810034759511e+01	-6.100000919383237630e+00	1.202713612971091986e-02	3.577409697994372386e-06	8.440784928114923868e-01	7.075173349387263706e-06	9.832047922356789059e+04	1.149905890797209622e+03	7.727397105158635213e+02	1.969784334093430118e+02	9.638657520786754127e-03	4.131706620365816052e+05	4.058235877944029735e-01	-2.249776568896435791e-01
9.750000000000000000e+01	3.061560459627863020e+05	1.007995535304712291e+02	1.089803558680735485e+01	-6.082651451099765794e+00	1.202878804401266537e-02	3.575208717615880040e-06	8.441333849247842913e-01	7.075297393234675573e-06	9.831670825051571592e+04	1.149996266957069338e+03	7.727633524090440460e+02	1.969735324698768579e+02	9.638957225410485496e-03	4.131634183440966299e+05	4.058272347017438109e-01	-2.249131153061081079e-01
9.800000000000000000e+01	3.063354036222062423e+05	1.006391396481086957e+02	1.092578582247407049e+01	-6.069124996797075511e+00	1.203044045228522825e-02	3.573010722186659025e-06	8.441882895454341229e-01	7.075421451446229708e-06	9.831293689512036508e+04	1.150086670071928211e+03	7.727869994128823237e+02	1.969686310401872618e+02	9.639257020292193306e-03	4.131561740668317652e+05	4.058308811237920088e-01	-2.249843933250149641e-01
